,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE, FY 1939 , FY 1940 , FY 1941 , FY 1942 , FY 1943 , FY 1944 , FY 1945 , FY 1946 , FY 1947 , FY 1948 , FY 1949 , FY 1950 , FY 1951 , FY 1952 , FY 1953 , FY 1954 , FY 1955 , FY 1956 , FY 1957 , FY 1958 , FY 1959 , FY 1960 , FY 1961 , FY 1962 , FY 1963 , FY 1964 , FY 1965 , FY 1966 , FY 1967 , FY 1968 , FY 1969 , FY 1970 , FY 1971 , FY 1972 , FY 1973 , FY 1974 , FY 1975 , FY 1976 , FY 1977 , FY 1978 , FY 1979 , FY 1980 , FY 1981 , FY 1982 , FY 1983 , FY 1984 , FY 1985 , FY 1986 , FY 1987 , FY 1988 , FY 1989 , FY 1990 , FY 1991 , FY 1992 , FY 1993 , FY 1994 ,  FY 1995 , FY 1996 , FY 1997 , FY 1998 , FY 1999 , FY 2000 , FY 2001 , FY 2002 , FY 2003 , FY 2004 , FY 2005 , FY 2006 , FY 2007 , FY 2008 , FY 2009 , FY 2010 , FY 2011 , FY 2012 , FY 2013 , FY 2014 , FY 2015 , FY 2016 , FY 2017 , FY 2018 , FY 2019 , FY 2020 ,TOTAL TO DATE,,,,,,,,,,,,
NEBRASKA,"$20,428 ","$32,135 ","$54,048 ","$54,155 ","$23,959 ","$18,855 ","$16,699 ","$18,261 ","$48,284 ","$175,329 ","$235,251 ","$208,315 ","$186,604 ","$348,248 ","$207,687 ","$238,862 ","$197,418 ","$286,593 ","$308,929 ","$311,883 ","$296,991 ","$274,877 ","$260,537 ","$254,843 ","$257,836 ","$308,286 ","$314,348 ","$364,897 ","$440,570 ","$493,861 ","$571,160 ","$585,510 ","$553,585 ","$580,157 ","$704,297 ","$836,709 ","$934,298 ","$1,004,386 ","$1,437,204 ","$1,034,504 ","$1,349,389 ","$1,403,750 ","$1,319,069 ","$1,891,206 ","$1,718,986 ","$1,427,541 ","$1,251,613 ","$1,745,692 ","$1,661,042 ","$1,730,376 ","$1,868,225 ","$1,862,972 ","$2,477,826 ","$2,395,714 ","$2,473,073 ","$2,867,020 ","$3,361,042 ","$3,206,529 ","$2,739,478 ","$2,598,051 ","$2,798,701 ","$3,246,130 ","$3,345,022 ","$3,082,306 ","$3,518,769 ","$3,284,266 ","$3,829,113 ","$3,810,958 ","$4,388,824 ","$4,986,506 ","$5,453,914 ","$7,627,692 ","$6,137,129 ","$5,942,262 ","$8,487,013 ","$12,547,930 ","$13,199,091 ","$11,172,967 ","$12,495,645 ","$12,833,330 ","$10,890,046 ","$9,717,933 ","$208,644,939 ",,,,,,,,,,,,
NEVADA,"$16,823 ","$26,463 ","$43,456 ","$48,024 ","$21,553 ","$17,406 ","$15,561 ","$16,916 ","$43,543 ","$159,078 ","$207,219 ","$195,253 ","$170,805 ","$328,550 ","$192,922 ","$234,377 ","$190,490 ","$276,528 ","$315,454 ","$328,325 ","$317,059 ","$296,096 ","$276,922 ","$264,022 ","$264,265 ","$302,023 ","$321,509 ","$371,708 ","$454,637 ","$519,157 ","$591,022 ","$620,053 ","$603,725 ","$633,316 ","$758,056 ","$882,558 ","$1,000,489 ","$1,081,366 ","$1,532,986 ","$1,124,932 ","$1,450,715 ","$1,568,686 ","$1,443,782 ","$2,061,783 ","$1,859,280 ","$1,579,387 ","$1,367,369 ","$1,911,957 ","$1,883,905 ","$1,951,375 ","$2,091,092 ","$2,062,739 ","$2,705,531 ","$2,601,419 ","$2,685,883 ","$3,102,591 ","$3,631,102 ","$3,454,031 ","$2,894,997 ","$2,728,516 ","$2,939,355 ","$3,466,997 ","$3,544,874 ","$3,268,082 ","$3,743,824 ","$3,559,648 ","$4,097,241 ","$4,106,175 ","$4,670,593 ","$5,415,101 ","$5,911,481 ","$8,157,054 ","$6,700,532 ","$6,437,222 ","$9,127,759 ","$13,469,749 ","$14,315,511 ","$12,234,352 ","$13,697,843 ","$13,948,153 ","$11,795,554 ","$10,502,549 ","$225,210,436 ",,,,,,,,,,,,
NEW HAMPSHIRE,"$4,635 ","$7,291 ","$10,694 ","$12,975 ","$5,888 ","$4,696 ","$4,117 ","$5,133 ","$12,921 ","$53,922 ","$65,197 ","$58,187 ","$48,508 ","$85,955 ","$57,176 ","$58,923 ","$48,984 ","$71,400 ","$81,180 ","$84,870 ","$82,000 ","$79,000 ","$73,510 ","$69,850 ","$69,510 ","$78,139 ","$83,525 ","$96,030 ","$117,515 ","$131,600 ","$151,450 ","$158,225 ","$153,850 ","$190,326 ","$224,132 ","$257,755 ","$290,100 ","$322,650 ","$474,500 ","$358,500 ","$466,880 ","$501,440 ","$487,970 ","$669,700 ","$629,400 ","$519,500 ","$466,450 ","$613,007 ","$637,343 ","$634,500 ","$698,000 ","$689,500 ","$950,500 ","$892,500 ","$945,500 ","$1,097,348 ","$1,253,007 ","$1,223,381 ","$973,154 ","$912,282 ","$961,369 ","$1,111,848 ","$1,203,184 ","$1,132,469 ","$1,264,195 ","$1,214,574 ","$1,442,482 ","$1,375,762 ","$1,587,401 ","$1,855,483 ","$2,004,425 ","$2,795,702 ","$2,316,511 ","$2,251,081 ","$3,142,757 ","$4,494,878 ","$4,767,143 ","$4,128,477 ","$4,652,531 ","$4,785,824 ","$4,048,853 ","$3,647,470 ","$75,690,600 ",,,,,,,,,,,,
NEW JERSEY,"$9,420 ","$14,817 ","$22,969 ","$24,994 ","$10,635 ","$8,596 ","$7,190 ","$8,075 ","$20,276 ","$76,209 ","$95,592 ","$72,200 ","$58,265 ","$117,302 ","$72,552 ","$77,591 ","$65,654 ","$103,864 ","$121,636 ","$120,230 ","$118,465 ","$99,289 ","$97,640 ","$92,893 ","$94,142 ","$134,954 ","$98,794 ","$128,903 ","$156,768 ","$173,497 ","$199,939 ","$219,568 ","$209,617 ","$319,122 ","$373,431 ","$454,142 ","$473,201 ","$518,547 ","$820,093 ","$619,769 ","$768,765 ","$832,249 ","$850,127 ","$1,138,229 ","$1,032,910 ","$830,687 ","$750,250 ","$934,883 ","$1,044,103 ","$994,282 ","$1,131,163 ","$1,116,586 ","$1,616,640 ","$1,450,500 ","$1,592,078 ","$1,845,116 ","$2,045,033 ","$2,069,356 ","$1,549,966 ","$1,465,244 ","$1,499,777 ","$1,695,875 ","$1,932,233 ","$1,845,915 ","$2,044,342 ","$1,974,680 ","$2,330,650 ","$2,208,601 ","$2,611,045 ","$3,089,160 ","$3,299,200 ","$4,529,149 ","$3,901,164 ","$3,833,227 ","$5,265,754 ","$7,258,798 ","$7,666,174 ","$6,740,034 ","$7,664,947 ","$7,986,372 ","$6,775,277 ","$6,203,940 ","$123,925,321 ",,,,,,,,,,,,
NEW MEXICO,"$19,610 ","$30,846 ","$50,472 ","$55,671 ","$24,673 ","$19,691 ","$17,506 ","$19,428 ","$50,268 ","$182,055 ","$239,105 ","$227,502 ","$197,794 ","$382,291 ","$225,029 ","$272,687 ","$220,105 ","$322,296 ","$371,304 ","$384,837 ","$374,826 ","$350,799 ","$331,783 ","$318,625 ","$320,666 ","$370,206 ","$382,455 ","$448,987 ","$519,679 ","$592,736 ","$686,046 ","$721,809 ","$702,686 ","$731,977 ","$882,010 ","$1,035,258 ","$1,193,271 ","$1,295,014 ","$1,831,315 ","$1,336,104 ","$1,781,155 ","$1,863,732 ","$1,729,888 ","$2,502,521 ","$2,248,353 ","$1,868,157 ","$1,657,050 ","$2,290,533 ","$2,269,354 ","$2,373,379 ","$2,526,339 ","$2,474,022 ","$3,261,753 ","$3,129,381 ","$3,218,694 ","$3,530,198 ","$4,247,634 ","$4,026,473 ","$3,380,924 ","$3,130,171 ","$3,420,717 ","$4,071,712 ","$4,050,224 ","$3,742,975 ","$4,311,943 ","$4,144,775 ","$4,761,855 ","$4,701,315 ","$5,360,014 ","$6,119,296 ","$6,648,005 ","$9,230,587 ","$7,575,408 ","$7,232,932 ","$10,296,502 ","$15,157,729 ","$16,123,634 ","$13,769,046 ","$15,467,517 ","$15,787,434 ","$13,326,908 ","$11,912,627 ","$258,462,288 ",,,,,,,,,,,,
NEW YORK,"$49,458 ","$77,799 ","$120,163 ","$120,205 ","$50,236 ","$40,308 ","$34,161 ","$41,621 ","$93,678 ","$349,521 ","$456,755 ","$412,503 ","$350,701 ","$651,277 ","$400,667 ","$463,051 ","$403,195 ","$585,125 ","$670,175 ","$709,503 ","$695,907 ","$608,668 ","$437,231 ","$392,241 ","$414,893 ","$544,658 ","$529,973 ","$603,498 ","$739,065 ","$806,732 ","$950,841 ","$974,556 ","$927,829 ","$1,059,454 ","$1,227,918 ","$1,337,890 ","$1,481,736 ","$1,696,793 ","$2,504,628 ","$1,877,601 ","$2,418,458 ","$2,574,469 ","$2,410,545 ","$3,427,771 ","$3,164,669 ","$2,641,573 ","$2,410,798 ","$3,357,193 ","$3,395,792 ","$3,444,300 ","$3,679,205 ","$3,580,251 ","$4,795,853 ","$4,519,822 ","$4,683,621 ","$5,599,576 ","$6,475,601 ","$6,226,248 ","$5,007,131 ","$4,670,976 ","$4,959,420 ","$5,724,950 ","$6,053,350 ","$5,589,079 ","$6,308,475 ","$6,055,166 ","$6,783,004 ","$6,543,604 ","$7,209,842 ","$8,645,429 ","$9,332,865 ","$13,319,153 ","$11,215,150 ","$10,062,572 ","$14,198,793 ","$20,539,566 ","$20,837,603 ","$17,702,363 ","$20,341,226 ","$20,862,345 ","$17,470,049 ","$15,687,703 ","$359,817,774 ",,,,,,,,,,,,
NORTH CAROLINA,"$17,418 ","$27,399 ","$44,732 ","$47,864 ","$20,307 ","$16,522 ","$14,037 ","$13,015 ","$35,665 ","$129,448 ","$186,120 ","$190,920 ","$170,881 ","$343,507 ","$201,506 ","$232,706 ","$196,556 ","$297,812 ","$339,320 ","$348,953 ","$339,780 ","$312,438 ","$300,852 ","$288,219 ","$290,922 ","$363,248 ","$353,591 ","$411,536 ","$512,460 ","$576,457 ","$671,456 ","$698,988 ","$681,928 ","$745,153 ","$867,847 ","$1,006,556 ","$1,164,362 ","$1,267,150 ","$1,805,308 ","$1,307,308 ","$1,699,471 ","$1,819,670 ","$1,736,011 ","$2,355,765 ","$2,152,975 ","$1,762,265 ","$1,616,730 ","$2,122,013 ","$2,202,658 ","$2,205,476 ","$2,406,726 ","$2,401,709 ","$3,275,194 ","$3,078,923 ","$3,409,269 ","$3,882,785 ","$4,473,679 ","$4,329,938 ","$3,567,630 ","$3,282,762 ","$3,434,482 ","$4,153,277 ","$4,624,376 ","$4,370,014 ","$4,829,534 ","$4,920,679 ","$5,642,181 ","$5,414,947 ","$6,308,429 ","$7,437,810 ","$8,291,439 ","$11,756,844 ","$9,654,257 ","$9,440,769 ","$13,641,695 ","$19,932,347 ","$21,315,164 ","$18,446,736 ","$20,734,869 ","$21,338,737 ","$18,198,167 ","$16,626,074 ","$311,134,722 ",,,,,,,,,,,,
NORTH DAKOTA,"$11,491 ","$18,076 ","$32,611 ","$36,484 ","$17,159 ","$13,405 ","$12,125 ","$13,011 ","$34,210 ","$124,023 ","$156,382 ","$156,513 ","$139,398 ","$248,934 ","$149,848 ","$169,638 ","$152,381 ","$190,643 ","$248,832 ","$258,400 ","$250,405 ","$231,877 ","$206,219 ","$190,221 ","$193,605 ","$225,909 ","$231,015 ","$270,926 ","$331,389 ","$361,966 ","$417,502 ","$439,926 ","$419,654 ","$451,610 ","$550,168 ","$652,886 ","$739,617 ","$799,527 ","$1,150,993 ","$843,544 ","$1,111,680 ","$1,207,849 ","$1,109,702 ","$1,571,579 ","$1,414,641 ","$1,161,855 ","$1,039,550 ","$1,436,152 ","$1,433,487 ","$1,477,201 ","$1,600,285 ","$1,574,662 ","$2,037,362 ","$1,975,089 ","$2,047,953 ","$2,402,245 ","$2,867,646 ","$2,739,255 ","$2,260,071 ","$2,126,676 ","$2,306,859 ","$2,675,781 ","$2,835,946 ","$2,637,355 ","$2,991,063 ","$2,990,057 ","$3,444,052 ","$3,384,469 ","$3,931,294 ","$4,578,788 ","$5,040,845 ","$7,052,945 ","$5,670,831 ","$5,437,678 ","$7,763,865 ","$11,273,624 ","$11,935,140 ","$10,085,485 ","$11,170,517 ","$11,377,784 ","$9,616,313 ","$8,460,411 ","$182,398,564 ",,,,,,,,,,,,
OHIO,"$39,017 ","$61,376 ","$102,679 ","$104,909 ","$46,776 ","$39,114 ","$33,100 ","$34,612 ","$87,491 ","$297,778 ","$386,506 ","$332,780 ","$296,113 ","$620,570 ","$348,276 ","$365,323 ","$295,695 ","$423,862 ","$475,076 ","$515,557 ","$516,203 ","$444,084 ","$411,593 ","$390,308 ","$392,517 ","$486,768 ","$463,390 ","$514,782 ","$593,854 ","$681,730 ","$750,319 ","$693,494 ","$675,714 ","$814,984 ","$971,816 ","$1,195,393 ","$1,267,724 ","$1,420,167 ","$2,035,453 ","$1,520,836 ","$2,014,825 ","$2,090,870 ","$1,992,953 ","$2,567,232 ","$2,327,255 ","$1,911,576 ","$1,765,098 ","$2,314,664 ","$2,411,059 ","$2,423,920 ","$2,631,533 ","$2,589,353 ","$3,664,116 ","$3,457,410 ","$3,667,087 ","$4,384,528 ","$5,057,271 ","$4,958,501 ","$4,060,173 ","$3,805,504 ","$4,030,294 ","$4,735,241 ","$4,884,420 ","$4,224,146 ","$4,762,854 ","$4,333,368 ","$5,264,165 ","$5,362,406 ","$5,940,507 ","$6,836,044 ","$7,253,313 ","$10,224,639 ","$8,266,471 ","$8,065,629 ","$11,332,218 ","$16,242,817 ","$17,194,036 ","$14,593,198 ","$16,188,100 ","$16,457,632 ","$13,737,911 ","$12,234,327 ","$283,406,404 ",,,,,,,,,,,,
OKLAHOMA,"$15,853 ","$24,937 ","$40,480 ","$47,091 ","$20,244 ","$16,532 ","$14,206 ","$15,040 ","$42,819 ","$161,977 ","$197,633 ","$184,645 ","$164,610 ","$343,143 ","$190,290 ","$222,139 ","$176,774 ","$252,856 ","$287,483 ","$301,533 ","$284,221 ","$266,308 ","$259,541 ","$249,340 ","$240,921 ","$301,781 ","$303,191 ","$344,849 ","$427,465 ","$494,263 ","$544,367 ","$546,850 ","$550,652 ","$625,547 ","$777,045 ","$851,813 ","$992,094 ","$1,088,006 ","$1,566,752 ","$1,146,154 ","$1,534,637 ","$1,686,026 ","$1,582,375 ","$2,289,375 ","$2,112,308 ","$1,693,417 ","$1,562,523 ","$2,324,263 ","$2,047,313 ","$1,990,110 ","$2,220,487 ","$2,179,907 ","$2,916,163 ","$2,770,565 ","$2,939,422 ","$3,468,110 ","$3,843,484 ","$3,926,535 ","$3,175,756 ","$2,987,061 ","$3,217,835 ","$3,822,713 ","$4,017,969 ","$3,747,979 ","$4,260,451 ","$4,314,718 ","$4,909,020 ","$4,785,013 ","$5,630,857 ","$6,549,087 ","$7,321,796 ","$10,106,242 ","$8,368,434 ","$8,155,533 ","$11,565,724 ","$17,326,220 ","$18,677,008 ","$15,826,672 ","$17,845,424 ","$19,907,732 ","$17,143,599 ","$15,668,006 ","$276,999,313 ",,,,,,,,,,,,
OREGON,"$19,250 ","$30,281 ","$49,519 ","$56,415 ","$25,187 ","$20,667 ","$18,343 ","$21,375 ","$55,361 ","$198,084 ","$260,542 ","$250,846 ","$214,143 ","$412,624 ","$245,938 ","$288,637 ","$239,372 ","$355,429 ","$410,674 ","$430,175 ","$409,090 ","$380,558 ","$359,793 ","$346,583 ","$350,729 ","$428,687 ","$429,669 ","$498,441 ","$617,467 ","$697,792 ","$804,470 ","$845,685 ","$817,477 ","$852,169 ","$1,011,461 ","$1,185,307 ","$1,342,304 ","$1,447,003 ","$2,025,434 ","$1,464,576 ","$1,925,576 ","$2,189,441 ","$2,056,245 ","$2,942,939 ","$2,688,041 ","$2,201,018 ","$1,925,296 ","$2,625,793 ","$2,602,537 ","$2,691,289 ","$2,874,102 ","$2,813,423 ","$3,753,030 ","$3,617,307 ","$3,645,914 ","$4,207,663 ","$4,909,882 ","$4,633,928 ","$3,871,671 ","$3,671,318 ","$3,956,926 ","$4,652,858 ","$4,821,928 ","$4,420,486 ","$5,018,969 ","$4,686,460 ","$5,481,960 ","$5,386,919 ","$6,103,918 ","$7,071,994 ","$7,729,971 ","$10,862,632 ","$8,728,731 ","$8,473,524 ","$11,759,582 ","$17,128,036 ","$18,283,088 ","$15,457,600 ","$17,345,633 ","$17,690,588 ","$16,031,149 ","$14,373,165 ","$297,230,087 ",,,,,,,,,,,,
PENNSYLVANIA,"$46,026 ","$72,400 ","$119,219 ","$130,084 ","$57,372 ","$43,646 ","$38,417 ","$40,564 ","$100,613 ","$344,643 ","$456,501 ","$431,889 ","$354,723 ","$695,900 ","$402,528 ","$443,960 ","$375,395 ","$560,762 ","$638,191 ","$672,441 ","$636,910 ","$590,598 ","$558,481 ","$541,197 ","$540,101 ","$708,182 ","$659,727 ","$681,910 ","$868,659 ","$1,002,973 ","$1,175,477 ","$1,280,102 ","$1,262,918 ","$1,390,431 ","$1,649,787 ","$1,915,982 ","$2,170,095 ","$2,328,906 ","$3,430,486 ","$2,635,093 ","$3,465,959 ","$3,765,135 ","$3,423,489 ","$4,898,676 ","$4,427,270 ","$3,675,794 ","$3,344,127 ","$4,560,616 ","$4,453,230 ","$4,452,296 ","$4,813,433 ","$4,731,585 ","$6,289,946 ","$6,048,987 ","$6,281,908 ","$7,256,769 ","$8,546,600 ","$8,115,497 ","$6,709,212 ","$6,170,696 ","$6,582,874 ","$7,602,373 ","$7,872,824 ","$7,047,696 ","$8,020,697 ","$7,837,535 ","$8,980,993 ","$8,774,312 ","$10,084,079 ","$11,453,294 ","$12,236,088 ","$16,973,507 ","$13,444,246 ","$13,364,999 ","$19,158,429 ","$27,975,344 ","$29,542,027 ","$24,948,408 ","$27,913,408 ","$28,157,633 ","$23,560,142 ","$20,931,244 ","$479,946,665 ",,,,,,,,,,,,
PUERTO RICO,$0 ,$0 ,$0 ,"$10,000 ","$5,000 ",$0 ,$0 ,"$3,000 ","$5,000 ","$5,000 ","$5,000 ","$7,500 ","$8,500 ","$10,000 ","$10,000 ","$10,000 ",$0 ,"$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$154,225 ","$186,317 ","$216,095 ","$244,600 ","$263,350 ","$369,500 ","$270,500 ","$355,120 ","$388,560 ","$345,970 ","$499,900 ","$441,200 ","$365,000 ","$324,550 ","$461,705 ","$442,945 ","$464,500 ","$492,000 ","$482,500 ","$623,500 ","$613,500 ","$623,500 ","$723,464 ","$856,993 ","$800,394 ","$684,748 ","$635,801 ","$692,165 ","$819,834 ","$899,413 ","$819,525 ","$935,564 ","$887,305 ","$1,019,450 ","$1,023,924 ","$1,160,880 ","$1,341,448 ","$1,464,934 ","$2,073,431 ","$1,656,236 ","$1,591,851 ","$2,258,628 ","$3,343,238 ","$3,559,210 ","$3,040,328 ","$3,397,357 ","$3,452,263 ","$2,912,843 ","$2,582,275 ","$53,511,539 ",,,,,,,,,,,,
RHODE ISLAND,$729 ,"$1,147 ","$1,605 ","$1,958 ",$843 ,$724 ,$639 ,$697 ,"$1,715 ","$41,319 ","$53,903 ","$49,567 ","$43,368 ","$85,955 ","$50,126 ","$58,923 ","$48,984 ","$71,400 ","$81,180 ","$84,870 ","$82,000 ","$79,000 ","$73,510 ","$69,850 ","$69,510 ","$78,139 ","$83,525 ","$96,030 ","$117,515 ","$131,600 ","$151,450 ","$158,225 ","$153,850 ","$190,326 ","$224,132 ","$257,755 ","$290,100 ","$322,650 ","$474,500 ","$358,500 ","$466,880 ","$501,440 ","$487,970 ","$669,700 ","$629,400 ","$519,500 ","$466,450 ","$613,007 ","$637,343 ","$634,500 ","$698,000 ","$689,500 ","$950,500 ","$892,500 ","$945,500 ","$1,097,348 ","$1,253,007 ","$1,223,381 ","$973,154 ","$912,282 ","$961,369 ","$1,111,848 ","$1,203,184 ","$1,121,404 ","$1,261,676 ","$1,207,123 ","$1,405,099 ","$1,372,361 ","$1,587,401 ","$1,855,483 ","$2,004,425 ","$2,795,702 ","$2,316,511 ","$2,251,081 ","$3,142,757 ","$4,494,878 ","$4,767,143 ","$4,128,477 ","$4,652,531 ","$4,785,824 ","$4,048,853 ","$3,647,470 ","$75,525,781 ",,,,,,,,,,,,
SOUTH CAROLINA,"$10,170 ","$15,998 ","$26,375 ","$28,916 ","$12,127 ","$9,462 ","$8,432 ","$7,458 ","$20,604 ","$76,491 ","$131,507 ","$104,611 ","$91,880 ","$178,342 ","$101,922 ","$119,804 ","$103,468 ","$155,287 ","$174,307 ","$175,959 ","$174,101 ","$159,296 ","$149,498 ","$142,120 ","$144,788 ","$181,260 ","$186,078 ","$216,283 ","$262,801 ","$300,877 ","$352,755 ","$365,294 ","$363,149 ","$391,321 ","$465,372 ","$525,315 ","$605,686 ","$670,325 ","$996,965 ","$755,267 ","$995,918 ","$1,076,949 ","$1,046,450 ","$1,459,839 ","$1,341,326 ","$1,075,862 ","$979,520 ","$1,289,046 ","$1,338,618 ","$1,345,990 ","$1,401,284 ","$1,406,162 ","$2,013,687 ","$1,871,610 ","$2,006,311 ","$2,361,606 ","$2,729,256 ","$2,700,778 ","$2,181,947 ","$2,044,085 ","$2,189,392 ","$2,548,294 ","$2,941,280 ","$2,718,409 ","$3,065,525 ","$3,174,258 ","$2,283,303 ","$2,767,987 ","$3,641,405 ","$3,953,176 ","$4,459,346 ","$6,342,075 ","$5,260,829 ","$5,327,609 ","$6,696,063 ","$10,172,083 ","$10,776,814 ","$9,311,672 ","$10,497,258 ","$10,678,793 ","$8,941,843 ","$7,812,139 ","$167,187,468 ",,,,,,,,,,,,
SOUTH DAKOTA,"$13,443 ","$21,146 ","$37,740 ","$44,980 ","$20,980 ","$17,428 ","$15,809 ","$16,571 ","$47,750 ","$189,859 ","$230,582 ","$192,334 ","$177,373 ","$334,814 ","$172,598 ","$217,700 ","$180,352 ","$263,908 ","$303,718 ","$312,054 ","$295,569 ","$270,605 ","$270,827 ","$251,013 ","$247,194 ","$316,145 ","$320,539 ","$380,744 ","$413,804 ","$442,595 ","$486,553 ","$540,059 ","$531,914 ","$545,344 ","$655,771 ","$786,033 ","$892,307 ","$985,522 ","$1,371,088 ","$975,472 ","$1,237,562 ","$1,343,339 ","$1,255,042 ","$1,795,054 ","$1,660,642 ","$1,386,965 ","$1,238,136 ","$1,744,683 ","$1,704,454 ","$1,768,182 ","$1,830,197 ","$1,847,058 ","$2,399,773 ","$2,301,731 ","$2,391,486 ","$2,839,513 ","$3,406,078 ","$3,287,602 ","$2,840,590 ","$2,683,170 ","$2,885,558 ","$3,242,050 ","$3,450,120 ","$3,272,354 ","$3,737,508 ","$3,440,127 ","$4,015,800 ","$4,195,942 ","$4,804,833 ","$5,521,192 ","$6,127,816 ","$8,638,885 ","$6,930,149 ","$6,628,479 ","$9,492,071 ","$13,854,562 ","$14,620,621 ","$12,010,444 ","$13,394,017 ","$13,775,104 ","$11,599,587 ","$10,145,967 ","$220,534,680 ",,,,,,,,,,,,
TENNESSEE,"$10,685 ","$16,808 ","$28,042 ","$31,905 ","$14,267 ","$13,444 ","$12,312 ","$13,144 ","$33,845 ","$128,715 ","$184,957 ","$182,970 ","$154,920 ","$350,988 ","$211,590 ","$253,156 ","$213,338 ","$319,786 ","$355,844 ","$387,679 ","$338,451 ","$308,364 ","$290,951 ","$282,798 ","$284,516 ","$365,858 ","$348,504 ","$396,328 ","$494,858 ","$489,329 ","$582,295 ","$632,561 ","$627,406 ","$705,252 ","$837,381 ","$1,008,803 ","$1,169,827 ","$1,293,376 ","$1,864,928 ","$1,355,401 ","$1,775,078 ","$1,913,094 ","$1,852,089 ","$2,637,220 ","$2,555,400 ","$2,103,953 ","$1,848,252 ","$2,541,161 ","$2,703,702 ","$2,734,181 ","$3,027,388 ","$2,909,037 ","$4,006,163 ","$3,832,165 ","$3,962,940 ","$4,644,043 ","$5,246,742 ","$5,196,112 ","$4,289,241 ","$3,951,382 ","$4,305,004 ","$5,009,785 ","$5,365,733 ","$5,086,100 ","$5,737,747 ","$5,988,969 ","$7,081,929 ","$7,721,967 ","$8,324,750 ","$9,652,824 ","$9,608,288 ","$13,545,666 ","$11,024,140 ","$10,726,478 ","$13,062,080 ","$19,633,243 ","$23,852,672 ","$20,400,396 ","$22,484,134 ","$22,544,767 ","$18,764,908 ","$17,067,040 ","$347,313,544 ",,,,,,,,,,,,
TEXAS,"$46,239 ","$72,735 ","$120,298 ","$132,717 ","$59,159 ","$47,592 ","$41,692 ","$45,430 ","$119,946 ","$413,189 ","$539,031 ","$495,670 ","$433,676 ","$859,552 ","$501,255 ","$589,230 ","$489,840 ","$714,000 ","$811,800 ","$848,700 ","$820,000 ","$790,000 ","$735,100 ","$698,500 ","$695,100 ","$781,394 ","$835,250 ","$960,300 ","$1,175,150 ","$1,316,000 ","$1,514,500 ","$1,582,250 ","$1,538,500 ","$1,650,548 ","$1,976,620 ","$2,285,930 ","$2,582,500 ","$2,811,400 ","$4,010,000 ","$2,969,000 ","$3,886,480 ","$4,224,240 ","$3,885,700 ","$5,508,400 ","$4,976,600 ","$4,113,500 ","$3,671,200 ","$5,070,951 ","$5,012,649 ","$5,155,000 ","$5,538,000 ","$5,446,000 ","$7,216,000 ","$6,972,000 ","$7,201,000 ","$8,356,288 ","$9,757,973 ","$9,272,901 ","$7,712,701 ","$7,187,457 ","$7,729,265 ","$9,074,385 ","$9,480,169 ","$8,678,260 ","$9,877,416 ","$9,384,766 ","$10,811,538 ","$10,796,752 ","$12,291,246 ","$14,256,523 ","$15,512,525 ","$21,889,945 ","$17,618,807 ","$16,973,282 ","$23,997,062 ","$35,275,009 ","$37,524,802 ","$32,144,324 ","$35,981,845 ","$36,656,319 ","$30,946,041 ","$27,527,049 ","$593,702,163 ",,,,,,,,,,,,
U.S. VIRGIN ISLANDS,$0 ,$0 ,$0 ,"$10,000 ","$5,000 ","$1,000 ","$2,000 ",$0 ,"$5,000 ","$5,000 ","$5,000 ","$7,500 ","$8,500 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$51,408 ","$62,106 ","$72,032 ","$81,533 ","$87,783 ","$123,167 ","$90,167 ","$118,373 ","$129,520 ","$115,323 ","$166,633 ","$147,067 ","$121,666 ","$108,183 ","$153,901 ","$179,919 ","$183,166 ","$198,333 ","$195,333 ","$262,333 ","$251,000 ","$261,500 ","$303,469 ","$351,665 ","$337,296 ","$276,318 ","$258,014 ","$275,589 ","$321,947 ","$340,307 ","$313,426 ","$355,336 ","$339,456 ","$391,236 ","$388,897 ","$443,828 ","$515,686 ","$560,243 ","$787,446 ","$640,114 ","$618,513 ","$870,669 ","$1,267,963 ","$1,347,460 ","$1,158,923 ","$1,299,808 ","$1,328,563 ","$1,122,415 ","$1,002,785 ","$20,636,818 ",,,,,,,,,,,,
