"fips","state","abb","year","key","value"
"34","New Jersey","NJ","1970","resident_hunting_licenses_tags_permits_stamps",225299
"35","New Mexico","NM","1970","resident_hunting_licenses_tags_permits_stamps",112233
"36","New York","NY","1970","resident_hunting_licenses_tags_permits_stamps",1303271
"37","North Carolina","NC","1970","resident_hunting_licenses_tags_permits_stamps",579954
"38","North Dakota","ND","1970","resident_hunting_licenses_tags_permits_stamps",176888
"39","Ohio","OH","1970","resident_hunting_licenses_tags_permits_stamps",583517
"40","Oklahoma","OK","1970","resident_hunting_licenses_tags_permits_stamps",302456
"41","Oregon","OR","1970","resident_hunting_licenses_tags_permits_stamps",703998
"42","Pennsylvania","PA","1970","resident_hunting_licenses_tags_permits_stamps",1573129
"44","Rhode Island","RI","1970","resident_hunting_licenses_tags_permits_stamps",19234
"45","South Carolina","SC","1970","resident_hunting_licenses_tags_permits_stamps",172653
"46","South Dakota","SD","1970","resident_hunting_licenses_tags_permits_stamps",259258
"47","Tennessee","TN","1970","resident_hunting_licenses_tags_permits_stamps",572009
"48","Texas","TX","1970","resident_hunting_licenses_tags_permits_stamps",952734
"49","Utah","UT","1970","resident_hunting_licenses_tags_permits_stamps",208159
"50","Vermont","VT","1970","resident_hunting_licenses_tags_permits_stamps",116583
"51","Virginia","VA","1970","resident_hunting_licenses_tags_permits_stamps",777545
"53","Washington","WA","1970","resident_hunting_licenses_tags_permits_stamps",672841
"54","West Virginia","WV","1970","resident_hunting_licenses_tags_permits_stamps",226873
"55","Wisconsin","WI","1970","resident_hunting_licenses_tags_permits_stamps",812248
"56","Wyoming","WY","1970","resident_hunting_licenses_tags_permits_stamps",136280
"01","Alabama","AL","1970","non-resident_hunting_licenses_tags_permits_stamps",9620
"02","Alaska","AK","1970","non-resident_hunting_licenses_tags_permits_stamps",25121
"04","Arizona","AZ","1970","non-resident_hunting_licenses_tags_permits_stamps",20606
"05","Arkansas","AR","1970","non-resident_hunting_licenses_tags_permits_stamps",15044
"06","California","CA","1970","non-resident_hunting_licenses_tags_permits_stamps",2765
"08","Colorado","CO","1970","non-resident_hunting_licenses_tags_permits_stamps",83575
"09","Connecticut","CT","1970","non-resident_hunting_licenses_tags_permits_stamps",874
"10","Delaware","DE","1970","non-resident_hunting_licenses_tags_permits_stamps",1155
"12","Florida","FL","1970","non-resident_hunting_licenses_tags_permits_stamps",3099
"13","Georgia","GA","1970","non-resident_hunting_licenses_tags_permits_stamps",6036
"15","Hawaii","HI","1970","non-resident_hunting_licenses_tags_permits_stamps",361
"16","Idaho","ID","1970","non-resident_hunting_licenses_tags_permits_stamps",74569
"17","Illinois","IL","1970","non-resident_hunting_licenses_tags_permits_stamps",9890
"18","Indiana","IN","1970","non-resident_hunting_licenses_tags_permits_stamps",4395
"19","Iowa","IA","1970","non-resident_hunting_licenses_tags_permits_stamps",18131
"20","Kansas","KS","1970","non-resident_hunting_licenses_tags_permits_stamps",23617
"21","Kentucky","KY","1970","non-resident_hunting_licenses_tags_permits_stamps",4092
"22","Louisiana","LA","1970","non-resident_hunting_licenses_tags_permits_stamps",10279
"23","Maine","ME","1970","non-resident_hunting_licenses_tags_permits_stamps",40554
"24","Maryland","MD","1970","non-resident_hunting_licenses_tags_permits_stamps",9221
"25","Massachusetts","MA","1970","non-resident_hunting_licenses_tags_permits_stamps",1821
"26","Michigan","MI","1970","non-resident_hunting_licenses_tags_permits_stamps",25585
"27","Minnesota","MN","1970","non-resident_hunting_licenses_tags_permits_stamps",2803
"28","Mississippi","MS","1970","non-resident_hunting_licenses_tags_permits_stamps",27142
"29","Missouri","MO","1970","non-resident_hunting_licenses_tags_permits_stamps",15625
"30","Montana","MT","1970","non-resident_hunting_licenses_tags_permits_stamps",95222
"31","Nebraska","NE","1970","non-resident_hunting_licenses_tags_permits_stamps",28912
"32","Nevada","NV","1970","non-resident_hunting_licenses_tags_permits_stamps",8862
"33","New Hampshire","NH","1970","non-resident_hunting_licenses_tags_permits_stamps",29148
"34","New Jersey","NJ","1970","non-resident_hunting_licenses_tags_permits_stamps",4228
"35","New Mexico","NM","1970","non-resident_hunting_licenses_tags_permits_stamps",14858
"36","New York","NY","1970","non-resident_hunting_licenses_tags_permits_stamps",74658
"37","North Carolina","NC","1970","non-resident_hunting_licenses_tags_permits_stamps",8222
"38","North Dakota","ND","1970","non-resident_hunting_licenses_tags_permits_stamps",9560
"39","Ohio","OH","1970","non-resident_hunting_licenses_tags_permits_stamps",2335
